,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1
EpPi,1.319705953472682,1,"[[1.349264549252127, 1]]",1
MolossusPhyllostomus,10000000000.0,1,"[[10000000000, 1]]",1
Myotis,0.0,1,"[[0, 1]]",1
Phyllostomidae,0.3759396535942016,1,"[[0.363729909535991, 1]]",1
Phyllostomus,0.0,1,"[[0, 1]]",1
Pipistrellus,0.8321864054418445,1,"[[0.7360372336945803, 1]]",1
Pteropodidae,0.2721967773387015,1,"[[0.2641192441035646, 1]]",1
Pteropus,10000000000.0,1,"[[10000000000, 1]]",1
Vespertilionidae,2.131570438283123,1,"[[2.06398594886115, 1]]",1
Yangochiroptera,10000000000.0,1,"[[10000000000, 1]]",1
ajXP_037007897_1,0.2786319388318375,1,"[[0.2709592410115534, 1]]",1
drXP_053769378_1,0.0,1,"[[0, 1]]",1
mbXP_005881863_1,0.0,1,"[[0, 1]]",1
mdXP_059562222_1,1.0,1,"[[1, 1]]",1
mlXP_006087212_1,0.0,1,"[[0, 1]]",1
mmXP_036179003_1,0.4244399406510726,1,"[[0.4100723000813163, 1]]",1
moXP_036100831_1,0.4209021027597641,1,"[[0.4097466283224764, 1]]",1
paXP_006913772_1,1.0,1,"[[1, 1]]",1
pdXP_028380811_1,0.0,1,"[[0, 1]]",1
pgXP_039696298_1,1.0,1,"[[1, 1]]",1
phXP_045706068_1,0.0,1,"[[0, 1]]",1
pkXP_036274910_1,0.0,1,"[[0, 1]]",1
pnCAK6447693_1,1.0,1,"[[1, 1]]",1
pvXP_011359378_1,1.0,1,"[[1, 1]]",1
raXP_016011221_1,10000000000.0,1,"[[10000000000, 1]]",1
rfXP_032943375_1,0.0,1,"[[0, 1]]",1
sbXP_066102731_1,0.4397052926019702,1,"[[0.4262277510996468, 1]]",1
