,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1
EpPi,0.0,1,"[[0, 1]]",1
Myobl,0.0,1,"[[0, 1]]",1
Myodm,0.0,1,"[[0, 1]]",1
Myotis,0.1495868716616182,1,"[[0.1258712759166486, 1]]",1
Phyllostomidae,0.05518338535154235,1,"[[0.0486945178637621, 1]]",1
Phyllostomus,0.02124491437312394,1,"[[0.0187267281142396, 1]]",1
Pipistrellus,0.0,1,"[[0, 1]]",1
Pteropodidae,0.06217176433941853,1,"[[0.05480793445178696, 1]]",1
Pteropus,0.0,1,"[[0, 1]]",1
Vespertilionidae,0.0788268244168059,1,"[[0.07080740621674508, 1]]",1
Yangochiroptera,0.06160910541680385,1,"[[0.05413848916146521, 1]]",1
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1
ajXP_036999232_2,0.03515137951430875,1,"[[0.031419858157518, 1]]",1
drXP_024420423_2,0.0154243345795295,1,"[[0.01366913762365467, 1]]",1
enKAK1331354_1,0.7889998593275938,2,"[[0, 0.9663571765511436], [1840.12288649149, 0.03364282344885638]]",0
mbXP_014404351_1,0.0,1,"[[0, 1]]",1
mdXP_059525517_1,0.0,1,"[[0, 1]]",1
mlXP_006099930_1,0.0,1,"[[0, 1]]",1
mmXP_036196431_1,0.0,1,"[[0, 1]]",1
moXP_036123882_1,0.07698377145742191,1,"[[0.06813822137052956, 1]]",1
paXP_006925036_1,0.0,1,"[[0, 1]]",1
pdXP_028375397_1,0.05645080786698795,1,"[[0.04974536392070747, 1]]",1
pgXP_039741955_1,0.0,1,"[[0, 1]]",1
phXP_045692135_1,0.0,1,"[[0, 1]]",1
pkXP_036310153_1,0.0,1,"[[0, 1]]",1
pnCAK6437980_1,0.0,1,"[[0, 1]]",1
pvXP_011358325_1,1.0,1,"[[1, 1]]",1
raXP_016008006_1,0.0,1,"[[0, 1]]",1
rfXP_032946005_1,0.01706086469001873,1,"[[0.01508631726222919, 1]]",1
sbXP_066119409_1,0.04104004554001681,1,"[[0.03624977345762501, 1]]",1
