,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1.0
EpPi,10000000000.0,1,"[[10000000000, 1]]",1.0
Myobl,1.0,1,"[[1, 1]]",1.0
Myodm,0.0,1,"[[0, 1]]",1.0
Myotis,0.0,1,"[[0, 1]]",1.0
Phyllostomidae,0.0,1,"[[0, 1]]",1.0
Phyllostomus,0.0,1,"[[0, 1]]",1.0
Pipistrellus,0.0,1,"[[0.05677694635580946, 1]]",1.0
Pteropodidae,0.05669161977404091,1,"[[0.05551394282957634, 1]]",1.0
Pteropus,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,0.0,1,"[[0, 1]]",1.0
Yangochiroptera,0.0,1,"[[0, 1]]",1.0
ajXP_036986785_2,0.08862275482306446,1,"[[0.08242591469398257, 1]]",1.0
drXP_045056372_1,0.0,1,"[[0, 1]]",1.0
enKAK1337370_1,0.0001867100081254681,2,"[[0.02446169520649166, 0.5712312305562446], [1, 0.4287687694437554]]",1.0
mbXP_014405992_1,0.0,1,"[[0, 1]]",1.0
mdXP_059521903_1,0.0,1,"[[0, 1]]",1.0
mlXP_023604791_1,2.365176969067452,2,"[[1, 0.9692971621736695], [203.249032477156, 0.03070283782633054]]",0.1654243152433882
mmXP_036163150_1,0.0,1,"[[0, 1]]",1.0
moXP_036130710_1,0.0,1,"[[0, 1]]",1.0
paXP_015448117_1,1.0,1,"[[1, 1]]",1.0
pdXP_035868408_1,0.0,1,"[[0, 1]]",1.0
pgXP_039724454_1,1.0,1,"[[1, 1]]",1.0
phXP_045712303_1,1.0,1,"[[1, 1]]",1.0
pkXP_045433137_1,0.07318457533255496,1,"[[0.06671544847395536, 1]]",1.0
pnCAK6437308_1,0.0,1,"[[0, 1]]",1.0
pvXP_011372877_1,1.0,1,"[[1, 1]]",1.0
raXP_015977886_2,1.0,1,"[[1, 1]]",1.0
rfXP_032983483_1,0.1525641437178424,1,"[[0.1834396238696749, 1]]",1.0
sbXP_066127687_1,0.4287748095982925,1,"[[0.4204575506502242, 1]]",1.0
