,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.9251633656341777,1,"[[0.8959233550188751, 1]]",1
EpPi,1.593955875946894,1,"[[1.631792401124191, 1]]",1
MolossusPhyllostomus,0.5601273814210148,2,"[[0.5498969071991486, 0.9935863425561453], [3421.975693126393, 0.006413657443854692]]",1
Myobl,0.0,1,"[[0, 1]]",1
Myodm,10000000000.0,1,"[[10000000000, 1]]",1
Myotis,0.2068565776316933,1,"[[0.1734555380743221, 1]]",1
Phyllostomidae,0.3492840294205287,2,"[[0, 0.9206338551609838], [4.871727424667675, 0.07936614483901616]]",1
Phyllostomus,0.1113950770484581,1,"[[0.1136242950555131, 1]]",1
Pipistrellus,0.2637256698502517,1,"[[0.254296267010329, 1]]",1
Pteropodidae,0.3114033332889104,1,"[[0.2820588680407238, 1]]",1
Pteropus,0.2115313945073093,1,"[[0.2145715987200268, 1]]",1
Pteropusgv,0.4151155213113573,1,"[[0.3978110491953993, 1]]",1
Vespertilionidae,0.8096162815817374,1,"[[0.7911208082866951, 1]]",1
Yangochiroptera,0.0751954931910812,1,"[[0.09199581230748, 1]]",1
YangochiropteraAfterSaccopteryx,3.398176387646223,1,"[[2.757270910017753, 1]]",1
ajXP_036985206_2,0.1541357537384351,2,"[[0.08015898296512752, 0.9964950794660009], [77.07979284834848, 0.00350492053399909]]",1
drXP_053783920_1,0.218752821986187,1,"[[0.2112895470077688, 1]]",1
enKAK1338811_1,0.1478798802272716,1,"[[0.1410505496900547, 1]]",1
mbXP_005882335_1,1.239119345452632,1,"[[1.188773142822638, 1]]",1
mdXP_059563577_1,1.217436670002666,1,"[[1.172095763139484, 1]]",1
mlXP_006100156_1,0.07746353524875417,1,"[[0.07493625361925306, 1]]",1
mmXP_036211954_1,10000000000.0,1,"[[10000000000, 1]]",1
moXP_036103237_1,0.5114797020182442,1,"[[0.5195991624219636, 1]]",1
paXP_006913680_1,0.3792965439641563,1,"[[0.3659222682885978, 1]]",1
pdXP_028363193_1,0.1785226142030412,1,"[[0.1785135726408467, 1]]",1
pgXP_039707859_1,0.3667266501760233,1,"[[0.3522977224759814, 1]]",1
phXP_045697063_1,0.1398941492923949,1,"[[0.1249792406618889, 1]]",1
pkXP_036304628_1,0.3289813410538363,1,"[[0.3178847776680095, 1]]",1
pnCAK6432484_1,0.7018174754373349,1,"[[0.6751487061508981, 1]]",1
pvXP_011371069_1,0.0,1,"[[0, 1]]",1
raXP_015976007_2,0.3585111058176161,1,"[[0.3395540754332675, 1]]",1
rfXP_032965356_1,0.3244357194059077,2,"[[0.06454432556651764, 0.9077464216278764], [3.649475751422953, 0.09225357837212356]]",1
sbXP_066133508_1,0.2761194849665384,2,"[[0, 0.7975984831715708], [1.588043188838083, 0.2024015168284292]]",1
