,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1.0
EpPi,1.0,1,"[[1, 1]]",1.0
MolossusPhyllostomus,0.0,1,"[[0, 1]]",1.0
Myodm,0.0,1,"[[0, 1]]",1.0
Myotis,0.0,1,"[[0, 1]]",1.0
Phyllostomus,0.0,1,"[[0, 1]]",1.0
Pipistrellus,0.0,1,"[[0, 1]]",1.0
Pteropodidae,0.0,1,"[[0, 1]]",1.0
Pteropus,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,0.0,1,"[[0, 1]]",1.0
Yangochiroptera,0.0,1,"[[0, 1]]",1.0
ajXP_036997923_1,0.0,1,"[[0, 1]]",1.0
drXP_053771008_1,0.05653702385022871,2,"[[0.004783250736679476, 0.8555840996951892], [0.264083866353048, 0.1444159003048108]]",1.0
enKAK1342503_1,0.0,1,"[[0, 1]]",1.0
mbXP_005873932_1,1.0,1,"[[1, 1]]",1.0
mdXP_059552195_1,0.0,1,"[[0, 1]]",1.0
mlXP_006100418_1,0.0,1,"[[0, 1]]",1.0
mmXP_036167676_1,0.0,1,"[[0, 1]]",1.0
moXP_036097942_1,0.0,1,"[[0, 1]]",1.0
paXP_006904364_1,0.0,1,"[[0, 1]]",1.0
pdXP_035888483_1,0.0,1,"[[0, 1]]",1.0
pgXP_039723803_1,1.0,1,"[[1, 1]]",1.0
phXP_045709307_1,0.4952611071211998,2,"[[0, 0.9013639361189728], [476.491410597703, 0.09863606388102719]]",1.728950316248756e-12
pkXP_036306026_1,1.0,1,"[[1, 1]]",1.0
pnCAK6445318_1,0.0,1,"[[0, 1]]",1.0
pvXP_011365103_1,1.0,1,"[[1, 1]]",1.0
raXP_016022021_1,0.0,1,"[[0, 1]]",1.0
rfXP_032990338_1,0.0,1,"[[0, 1]]",1.0
sbXP_066125832_1,0.01605406072455633,1,"[[0.0116457646137634, 1]]",1.0
