,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0657211085057537,1,"[[0.06200049524783853, 1]]",1.0
EpPi,2.868989682364536,1,"[[4.990159904106018, 1]]",1.0
MolossusPhyllostomus,0.1995035372276002,1,"[[0.1827123171617823, 1]]",1.0
Myobl,0.1783840542677885,1,"[[0.1022236989425684, 1]]",1.0
Myodm,0.0,1,"[[0, 1]]",1.0
Myotis,0.104922949739291,1,"[[0.1151167952704181, 1]]",1.0
Phyllostomidae,0.09267748893793157,1,"[[0.08558281829992513, 1]]",1.0
Phyllostomus,0.1301650878720956,1,"[[0.1200695080223779, 1]]",1.0
Pipistrellus,1.763782419188623e-05,2,"[[1.009653104007095e-05, 0.9967913230939099], [73.90116339892117, 0.003208676906090058]]",1.0
Pteropodidae,0.1391661293809424,1,"[[0.1268499207019036, 1]]",1.0
Pteropus,0.1065504531795666,1,"[[0.09763897744261692, 1]]",1.0
Pteropusgv,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,0.1792421597066683,1,"[[0.1605521543404038, 1]]",1.0
Yangochiroptera,0.0,1,"[[0, 1]]",1.0
YangochiropteraAfterSaccopteryx,1.100017270032556,1,"[[0.7093721862481973, 1]]",1.0
ajXP_037015603_2,0.2184969394827636,1,"[[0.2008894619527001, 1]]",1.0
drXP_024414288_1,0.08557252761827738,1,"[[0.07882999704702875, 1]]",1.0
mbXP_005885697_1,0.1197752935524089,1,"[[0.1101304791869211, 1]]",1.0
mdXP_059515229_1,0.2082104469278201,2,"[[0, 0.9953201398599535], [586.4030810966071, 0.00467986014004651]]",6.104974201370794e-05
mlXP_023601054_1,0.06561736337357808,1,"[[0.06056012633612391, 1]]",1.0
mmXP_036189808_1,0.0924141477156496,1,"[[0.1070539891593568, 1]]",1.0
moXP_036119000_1,0.08745160603418074,1,"[[0.08245114061187823, 1]]",1.0
paXP_006917774_1,0.0,1,"[[0, 1]]",1.0
pdXP_028371051_1,0.05699999110081016,1,"[[0.05254979684721933, 1]]",1.0
pgXP_039708298_1,1.0,1,"[[1, 1]]",1.0
phXP_045683354_1,0.0,1,"[[0, 1]]",1.0
pkXP_036291813_1,0.1303432244146868,1,"[[0.1201077898683133, 1]]",1.0
pnCAK6435282_1,0.0856626165889589,1,"[[0.07936658475813385, 1]]",1.0
pvXP_011368108_1,1.0,1,"[[1, 1]]",1.0
raXP_036079852_1,0.1061952106261363,1,"[[0.09769371428737106, 1]]",1.0
rfXP_032980988_1,0.1476847984692494,2,"[[0, 0.8906266099605014], [1.51369135923956, 0.1093733900394986]]",1.0
sbXP_066123720_1,0.06387429064097679,1,"[[0.05801574992175345, 1]]",1.0
