,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
MolossusPhyllostomus,0.0,1,"[[0, 1]]",1.0
Myotis,0.0,1,"[[0, 1]]",1.0
Phyllostomidae,0.1712907755696736,1,"[[0.1437679197780722, 1]]",1.0
Phyllostomus,0.0,1,"[[0, 1]]",1.0
Pipistrellus,0.0,1,"[[0, 1]]",1.0
Pteropodidae,0.0,1,"[[0, 1]]",1.0
Pteropus,0.4475042890534782,1,"[[0.3576188752548472, 1]]",1.0
Vespertilionidae,0.100720552814835,1,"[[0.08338418613694665, 1]]",1.0
Yangochiroptera,10000000000.0,1,"[[10000000000, 1]]",1.0
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1.0
ajXP_037023005_2,0.02855897968898285,1,"[[0.02414345747833221, 1]]",1.0
drXP_053766978_1,0.0,1,"[[0, 1]]",1.0
enKAK1342406_1,0.6679934781944934,2,"[[0.1282852064538443, 0.8698588154031373], [100000, 0.1301411845968627]]",5.284661597215745e-14
mbXP_014389106_1,0.9406866044437632,2,"[[0.1505785142283761, 0.9416327092566902], [66.72591004122856, 0.05836729074330982]]",3.167812051996233e-05
mdXP_059551924_1,1.0,1,"[[1, 1]]",1.0
mlXP_006095087_1,0.2857175285586867,1,"[[0.2359199020436506, 1]]",1.0
mmXP_036168168_1,0.8210729645774709,2,"[[0, 0.9399082094147452], [73.5882613505656, 0.06009179058525482]]",2.939985598471306e-06
moXP_036137889_1,0.0,1,"[[0, 1]]",1.0
paXP_024906169_1,1.0,1,"[[1, 1]]",1.0
pdXP_028375203_1,1.0,1,"[[1, 1]]",1.0
pgXP_039732085_1,1.0,1,"[[1, 1]]",1.0
phXP_045709102_1,1.0,1,"[[1, 1]]",1.0
pkXP_045441875_1,0.4338297198186824,1,"[[0.3603898046181739, 1]]",1.0
pnCAK6445218_1,0.0,1,"[[0, 1]]",1.0
pvXP_023386510_1,0.0,1,"[[0, 1]]",1.0
raXP_016009779_1,0.4199399284735102,1,"[[0.3567732204652728, 1]]",1.0
rfXP_032990674_1,0.0457022872686954,1,"[[0.03832546872320965, 1]]",1.0
sbXP_066123222_1,0.02344551586726156,1,"[[0.0200582220638466, 1]]",1.0
