,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1
EpPi,0.0,1,"[[0, 1]]",1
MolossusPhyllostomus,0.0,1,"[[0, 1]]",1
Myobl,0.0,1,"[[0, 1]]",1
Myotis,0.0,1,"[[0, 1]]",1
Phyllostomidae,0.02460673569695401,1,"[[0.02179447925877321, 1]]",1
Phyllostomus,0.0,1,"[[0, 1]]",1
Pipistrellus,0.0,1,"[[0, 1]]",1
Pteropodidae,0.0,1,"[[0, 1]]",1
Pteropus,0.0,1,"[[0, 1]]",1
Vespertilionidae,0.0,1,"[[0, 1]]",1
Yangochiroptera,0.05155910638495134,1,"[[0.04401062139391268, 1]]",1
ajXP_036981880_1,0.0,1,"[[0, 1]]",1
drXP_024425295_2,0.023492668734475,1,"[[0.020833311606021, 1]]",1
enKAK1330095_1,1.0,1,"[[0, 1]]",1
mbXP_005863468_1,0.1823001123075362,1,"[[0.1611886543076089, 1]]",1
mdXP_059522186_1,0.0,1,"[[0, 1]]",1
mlXP_023602727_1,0.0,1,"[[0, 1]]",1
mmXP_036201727_1,0.0,1,"[[0, 1]]",1
moXP_036130685_1,0.02349412941807046,2,"[[0, 0.9959543496679578], [24242.24058910811, 0.004045650332042183]]",1
paXP_006911849_1,0.0,1,"[[0, 1]]",1
pdXP_028385840_1,0.0,1,"[[0, 1]]",1
pgXP_039722104_1,0.0,1,"[[0, 1]]",1
phXP_045701182_1,0.0,1,"[[0, 1]]",1
pkXP_036284602_1,0.0,1,"[[0, 1]]",1
pnCAK6437176_1,0.0,1,"[[0, 1]]",1
pvXP_011366271_1,1.0,1,"[[1, 1]]",1
raXP_016005678_1,0.0,1,"[[0, 1]]",1
rfXP_032983902_1,0.0,1,"[[0, 1]]",1
sbXP_066127941_1,0.0,1,"[[0, 1]]",1
