,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1
EpPi,0.0,1,"[[0, 1]]",1
MolossusPhyllostomus,0.0,1,"[[0, 1]]",1
Myotis,0.0,1,"[[0, 1]]",1
Phyllostomidae,0.05781205971850068,1,"[[0.04085738042055468, 1]]",1
Phyllostomus,0.0,1,"[[0, 1]]",1
Pipistrellus,0.0,1,"[[0, 1]]",1
Pteropodidae,0.0,1,"[[0, 1]]",1
Vespertilionidae,0.1468916194301726,1,"[[0.1027882462126284, 1]]",1
Yangochiroptera,0.3413850002001024,1,"[[0.1988121657195871, 1]]",1
ajXP_037011433_2,0.1432314737288082,1,"[[0.09947033398178805, 1]]",1
drXP_024416997_1,0.332977154830117,2,"[[0, 0.972044861749657], [11.11155936714291, 0.02795513825034301]]",1
enKAK1333805_1,1.0,1,"[[1, 1]]",1
mbXP_014405067_1,0.0,1,"[[0, 1]]",1
mdXP_059518211_1,0.0,1,"[[0, 1]]",1
mlXP_006100907_1,0.0,1,"[[0, 1]]",1
mmXP_036193149_1,0.0,1,"[[0, 1]]",1
moXP_036121255_1,0.02285509242623973,1,"[[0.01710087363738574, 1]]",1
paXP_006915543_1,1.0,1,"[[1, 1]]",1
pdXP_035882648_1,0.1464533089999155,1,"[[0.1009677810578125, 1]]",1
pgXP_039728149_1,0.0,1,"[[0, 1]]",1
phXP_045698329_1,1.0,1,"[[1, 1]]",1
pkXP_036293983_1,1.0,1,"[[1, 1]]",1
pnCAK6436443_1,0.0,1,"[[0, 1]]",1
pvXP_011383064_1,0.004176144357504968,2,"[[0.01830968721999137, 0.8266897883742022], [1.340166559504134, 0.1733102116257978]]",1
raXP_016020483_2,0.2148542254346312,1,"[[0.1527202247212326, 1]]",1
rfXP_032987073_1,0.03965883582034765,1,"[[0.02841462260835026, 1]]",1
sbXP_066099348_1,0.1564886242461398,1,"[[0.110518826230163, 1]]",1
