,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.6551180263031376,1,"[[0.4780924790889801, 1]]",1
EpPi,0.0,1,"[[0, 1]]",1
MolossusPhyllostomus,0.476137446491528,1,"[[0.4109171155310292, 1]]",1
Myodm,0.0,1,"[[0, 1]]",1
Myotis,0.2917596891283533,1,"[[0.251931006884335, 1]]",1
Phyllostomidae,0.06375874328625827,1,"[[0.0558973450567908, 1]]",1
Phyllostomus,0.2630937162860369,1,"[[0.2239627315731354, 1]]",1
Pipistrellus,0.988499720716004,1,"[[0.8569635375114756, 1]]",1
Pteropodidae,0.0,1,"[[0, 1]]",1
Pteropusgv,0.0,1,"[[0, 1]]",1
Vespertilionidae,0.3700510008014615,1,"[[0.321778580734123, 1]]",1
YangochiropteraAfterSaccopteryx,10000000000.0,1,"[[10000000000, 1]]",1
ajXP_037017943_2,0.03624984896040165,1,"[[0.03170400951217579, 1]]",1
drXP_024421303_1,0.1272060982481333,1,"[[0.1105781729518697, 1]]",1
enKAK1339774_1,10000000000.0,1,"[[10000000000, 1]]",1
mbXP_014405535_1,0.0,1,"[[0, 1]]",1
mdXP_059544772_1,0.0,1,"[[0, 1]]",1
mlXP_023617614_1,0.0,1,"[[0, 1]]",1
mmXP_036204183_1,0.0,1,"[[0, 1]]",1
moXP_036112085_1,0.05551487666670894,1,"[[0.04772967333925249, 1]]",1
paXP_006919485_1,1.0,1,"[[1, 1]]",1
pdXP_028369193_1,0.0,1,"[[0, 1]]",1
pgXP_039730729_1,1.0,1,"[[1, 1]]",1
phXP_045703016_1,0.0,1,"[[0, 1]]",1
pkXP_036301491_1,1.0,1,"[[1, 1]]",1
pnCAK6441354_1,0.2059533861331771,1,"[[0.1783972265163195, 1]]",1
pvXP_023383893_1,0.0,1,"[[0, 1]]",1
raXP_015989709_1,0.0,1,"[[0, 1]]",1
rfXP_032970850_1,0.1698667841393383,1,"[[0.1467261655923834, 1]]",1
sbXP_066124800_1,0.06030858897141615,1,"[[0.0523700214952595, 1]]",1
