,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.1165416320586495,1,"[[0.1110826873328339, 1]]",1.0
EpPi,0.05412938465807529,1,"[[0.06321874500518906, 1]]",1.0
MolossusPhyllostomus,0.1383432097207093,1,"[[0.135031959665865, 1]]",1.0
Myodm,0.0,1,"[[0, 1]]",1.0
Myotis,0.2268705735883486,1,"[[0.2312250177408345, 1]]",1.0
Phyllostomidae,0.1765140542876162,1,"[[0.1701548571907127, 1]]",1.0
Phyllostomus,0.2379916268189798,1,"[[0.2256086110560093, 1]]",1.0
Pipistrellus,0.713305329754038,1,"[[0.5086375762416181, 1]]",1.0
Pteropodidae,0.1232525042699559,1,"[[0.119265217671555, 1]]",1.0
Pteropus,0.2352682150892597,1,"[[0.2278343999197383, 1]]",1.0
Vespertilionidae,0.1871719429176566,1,"[[0.1812893495230347, 1]]",1.0
Yangochiroptera,0.1181438231507508,1,"[[0.1155745032764998, 1]]",1.0
YangochiropteraAfterSaccopteryx,1.0,1,"[[1, 1]]",1.0
ajXP_037010590_2,0.2424405716626952,1,"[[0.2407327152599627, 1]]",1.0
drXP_024420410_1,0.3360610386791205,1,"[[0.3432948576716601, 1]]",1.0
mbXP_005857404_1,0.4117669871837922,1,"[[0.4021131284125804, 1]]",1.0
mdXP_059524550_1,0.414819138284399,1,"[[0.4042724385508748, 1]]",1.0
mlXP_006097436_1,1.24043989838706,2,"[[1, 0.9900699151880655], [100000, 0.00993008481193447]]",0.1317137620004827
mmXP_036197632_1,0.4087696344865862,1,"[[0.3992650077906822, 1]]",1.0
moXP_036125668_1,0.1441870573236875,1,"[[0.1420302370101826, 1]]",1.0
paXP_024900118_1,0.4139928308624074,1,"[[0.4026041271201191, 1]]",1.0
pdXP_028390347_1,0.05996239829031041,1,"[[0.06428603599746406, 1]]",1.0
pgXP_039703333_1,10000000000.0,1,"[[10000000000, 1]]",1.0
phXP_045680457_1,0.5988449364327344,2,"[[0.1888126263004715, 0.9173554920975852], [354.5782959077267, 0.08264450790241484]]",0.0
pkXP_036307808_1,0.05973134652884043,1,"[[0.05631341201930553, 1]]",1.0
pnCAK6437637_1,0.0,1,"[[0, 1]]",1.0
pvXP_023385722_1,0.0,1,"[[0, 1]]",1.0
raXP_016016699_1,0.4502558606415855,1,"[[0.4401220760679069, 1]]",1.0
rfXP_032946585_1,0.2780601728347154,1,"[[0.2739418240367438, 1]]",1.0
sbXP_066120383_1,0.2114324462359957,1,"[[0.2057371968258014, 1]]",1.0
