,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.8500857943431943,2,"[[0, 0.9877067542374218], [250.132818640926, 0.01229324576257818]]",0.6307195133039774
EpPi,0.0,1,"[[0, 1]]",1.0
MolossusPhyllostomus,0.1541634982128554,1,"[[0.06625523218799387, 1]]",1.0
Myobl,0.0,1,"[[0, 1]]",1.0
Myodm,0.1672190992723774,1,"[[0.1640166618363939, 1]]",1.0
Myotis,0.0768910274109226,1,"[[0.06799390710561233, 1]]",1.0
Phyllostomidae,0.2588624680583197,1,"[[0.2365077862981439, 1]]",1.0
Phyllostomus,0.2343438680800602,1,"[[0.197221666355017, 1]]",1.0
Pipistrellus,0.07326129645840762,1,"[[0.06982350330854886, 1]]",1.0
Pteropodidae,0.2132522089443971,1,"[[0.208266155966848, 1]]",1.0
Pteropus,0.8186578139197483,1,"[[0.7052258380963515, 1]]",1.0
Vespertilionidae,0.2801019359117431,1,"[[0.2632366084832972, 1]]",1.0
Yangochiroptera,0.4063536734771958,1,"[[0.8840544149827984, 1]]",1.0
ajXP_036997231_2,0.7061747947732957,1,"[[0.6615184626159455, 1]]",1.0
drXP_024413783_2,0.2580355409282495,1,"[[0.2435429574250114, 1]]",1.0
enKAK1327555_1,0.1499087416416574,1,"[[0.1430765511284445, 1]]",1.0
mbXP_005863314_1,0.8170513016065617,1,"[[0.6794084962690563, 1]]",1.0
mdXP_059558158_1,0.6909904059313582,2,"[[0.2599253306345923, 0.9366065889776539], [501.0216183307255, 0.06339341102234608]]",3.33066907387547e-15
mlXP_023600952_1,0.552361600662829,2,"[[0, 0.9410467073677644], [1395.497177815582, 0.05895329263223559]]",0.0
mmXP_036212179_1,0.5115464898604098,2,"[[0, 0.9855148829362091], [50.85970910003409, 0.01448511706379085]]",0.64303282866827
moXP_036103627_1,0.1960123117658584,2,"[[0.1021722298000786, 0.9798873048612611], [78.28164959037181, 0.02011269513873892]]",1.0
paXP_006913717_1,1.0,1,"[[1, 1]]",1.0
pdXP_028365394_1,0.0,1,"[[0, 1]]",1.0
pgXP_039707099_1,10000000000.0,1,"[[10000000000, 1]]",1.0
phXP_045681876_1,0.4075339228406442,1,"[[0.3870148597588521, 1]]",1.0
pkXP_045434298_1,0.09752874729968872,1,"[[0.09350492744440328, 1]]",1.0
pnCAK6447205_1,0.1770445694558399,1,"[[0.1654683571739859, 1]]",1.0
pvXP_011382280_1,0.4241188858517246,1,"[[0.4021275617934418, 1]]",1.0
raXP_015976146_2,1.00991134136321,2,"[[0, 0.8817666048619116], [9.587819658923008, 0.1182333951380884]]",0.8434167163521976
rfXP_032958499_1,0.4027514611592902,1,"[[0.3727708387069195, 1]]",1.0
sbXP_066109938_1,0.256962616156447,2,"[[0.1036537808980493, 0.919275597210989], [91.96325636938492, 0.08072440278901105]]",0.0004340367961521152
