,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.4969435238961747,1,"[[0.5677572097594344, 1]]",1.0
EpPi,1.555985423322437,1,"[[1.353154832581175, 1]]",1.0
MolossusPhyllostomus,0.5892112235408562,1,"[[0.5446052550174092, 1]]",1.0
Myobl,10000000000.0,1,"[[10000000000, 1]]",1.0
Myodm,0.2080797745157708,1,"[[0.1905892577320138, 1]]",1.0
Myotis,0.0,1,"[[0, 1]]",1.0
Phyllostomidae,0.2099496992489285,1,"[[0.1913363578533192, 1]]",1.0
Phyllostomus,0.1928350777419713,1,"[[0.1770562594970799, 1]]",1.0
Pipistrellus,0.1527036269365289,1,"[[0.1417263622741269, 1]]",1.0
Pteropodidae,0.3391612573756473,2,"[[0.2622634738882814, 0.9973801491770152], [121.2592995695469, 0.002619850822984771]]",1.0
Pteropus,0.3253215085666573,1,"[[0.2978168963071613, 1]]",1.0
Pteropusgv,0.4575373969262267,1,"[[10000000000, 1]]",1.0
Vespertilionidae,0.3883530708591443,1,"[[0.3654775388010416, 1]]",1.0
Yangochiroptera,0.1597009370262373,1,"[[0.15454212452203, 1]]",1.0
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1.0
ajXP_036986516_2,0.07517785391243469,1,"[[0.0685490480734523, 1]]",1.0
drXP_024417051_2,0.1019064002304991,1,"[[0.09332633818688175, 1]]",1.0
enKAK1333738_1,0.6943713340201941,2,"[[0.2536574061327203, 0.9836850846868539], [24242.24058910811, 0.01631491531314611]]",1.257973059054507e-09
mbXP_005876884_1,0.0,1,"[[0, 1]]",1.0
mdXP_059518493_1,0.2376850357149223,1,"[[0.2183411978250908, 1]]",1.0
mlXP_014304756_1,0.4184134679861556,1,"[[0.3856421518553464, 1]]",1.0
mmXP_036192831_1,0.2446073773514849,1,"[[0.2256400710030115, 1]]",1.0
moXP_036121653_1,0.1614406663389057,1,"[[0.1471525101605284, 1]]",1.0
paXP_006915624_1,0.5210077175679269,2,"[[0.08972766308020824, 0.9861938882266632], [325.8182566564344, 0.01380611177333679]]",5.616868462254843e-05
pdXP_028368991_1,0.1203781256756236,1,"[[0.1014309334927136, 1]]",1.0
pgXP_039727915_1,0.0,1,"[[0, 1]]",1.0
phXP_045697994_1,0.06599778026419864,2,"[[0, 0.9974339917462369], [73.39132260423663, 0.002566008253763075]]",1.0
pkXP_045437754_1,0.03779082162131287,1,"[[0.04283235344776538, 1]]",1.0
pnCAK6436362_1,0.1224815256916818,1,"[[0.1000828633953837, 1]]",1.0
pvXP_011370455_1,0.0,1,"[[0, 1]]",1.0
raXP_015988574_2,0.02870118761833841,1,"[[0.02491645167242786, 1]]",1.0
rfXP_032987089_1,0.1793849077689475,2,"[[0, 0.9162979808623095], [2.385230036112425, 0.08370201913769049]]",1.0
sbXP_066098163_1,0.1102560861622982,1,"[[0.1028460079988292, 1]]",1.0
