,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1
EpPi,0.0,1,"[[0, 1]]",1
Phyllostomidae,0.0,1,"[[0, 1]]",1
Phyllostomus,0.0,1,"[[0, 1]]",1
Pipistrellus,0.0,1,"[[0, 1]]",1
Pteropodidae,0.0,1,"[[0, 1]]",1
Vespertilionidae,10000000000.0,1,"[[10000000000, 1]]",1
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1
ajXP_036986918_1,0.0,1,"[[0, 1]]",1
drXP_024434508_1,0.0,1,"[[0, 1]]",1
enKAK1346659_1,0.0,1,"[[0, 1]]",1
mbXP_005873431_1,1.0,1,"[[1, 1]]",1
mdXP_059536532_1,1.0,1,"[[1, 1]]",1
mlXP_006084740_1,1.0,1,"[[1, 1]]",1
mmXP_036161533_1,1.0,1,"[[1, 1]]",1
moXP_036126983_1,0.0,1,"[[0, 1]]",1
paXP_006920756_1,1.0,1,"[[1, 1]]",1
pdXP_028379039_1,1.0,1,"[[1, 1]]",1
pgXP_039729933_1,0.0,1,"[[0, 1]]",1
phXP_045673667_1,0.3683920867967453,1,"[[0.2770927259285611, 1]]",1
pkXP_036295890_1,1.0,1,"[[1, 1]]",1
pnCAK6450397_1,0.0,1,"[[0, 1]]",1
pvXP_011382108_1,1.0,1,"[[1, 1]]",1
raXP_015987689_1,0.1162262188640577,1,"[[0.08994347693866751, 1]]",1
rfXP_032966004_1,0.0,1,"[[0, 1]]",1
sbXP_066105034_1,0.0,1,"[[0, 1]]",1
