,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.0,1,"[[0, 1]]",1.0
EpPi,0.0,1,"[[0, 1]]",1.0
MolossusPhyllostomus,0.0,1,"[[0, 1]]",1.0
Myodm,0.0,1,"[[0, 1]]",1.0
Myotis,0.4702337523687773,1,"[[0.4184532945989007, 1]]",1.0
Phyllostomidae,0.3953145568410508,1,"[[0.3509840080665291, 1]]",1.0
Phyllostomus,0.1520715473460565,1,"[[0.1369952071966458, 1]]",1.0
Pipistrellus,0.1084993879125143,1,"[[0.09958487109263388, 1]]",1.0
Pteropodidae,0.05974080438412353,1,"[[0, 1]]",1.0
Pteropus,0.0,1,"[[0.1344484076962013, 1]]",1.0
Vespertilionidae,0.05566353587876886,2,"[[0, 0.9897483843661365], [2362.113927686642, 0.01025161563386345]]",1.0
Yangochiroptera,2.19527477455333,2,"[[0.02337103968222056, 0.9724225544162732], [107.7617051137859, 0.02757744558372677]]",0.7177567758919601
ajXP_036994790_1,0.0,1,"[[0, 1]]",1.0
drXP_024410819_1,0.05923481110145535,1,"[[0.05454228990032948, 1]]",1.0
enKAK1335082_1,10000000000.0,1,"[[10000000000, 1]]",1.0
mbXP_005875077_1,0.0,1,"[[0, 1]]",1.0
mdXP_059567977_1,1.0,1,"[[1, 1]]",1.0
mlXP_006094777_1,1.0,1,"[[1, 1]]",1.0
mmXP_036184428_1,1.0,1,"[[1, 1]]",1.0
moXP_036103013_1,0.2349983161299165,1,"[[0.2153406891815413, 1]]",1.0
paXP_006910532_1,0.0,1,"[[0, 1]]",1.0
pdXP_035866858_1,0.0,1,"[[0, 1]]",1.0
pgXP_039716902_1,0.0,1,"[[0, 1]]",1.0
phXP_045711750_1,0.2218202843370168,1,"[[0.2027856092031009, 1]]",1.0
pkXP_045433494_1,0.0,1,"[[0, 1]]",1.0
pnCAK6434393_1,1.0,1,"[[1, 1]]",1.0
pvXP_011357779_1,1.0,1,"[[1, 1]]",1.0
raXP_015988494_1,0.84053416357521,1,"[[0.7835833729674567, 1]]",1.0
rfXP_032955160_1,0.04063736130234424,1,"[[0.03711639338396144, 1]]",1.0
sbXP_066118563_1,0.2723546822823629,2,"[[0, 0.9321703594434654], [6.872038848551897, 0.06782964055653462]]",1.0
