,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,1.0,1,"[[0, 1]]",1.0
EpPi,0.1751973452824401,1,"[[0.09662100828833937, 1]]",1.0
MolossusPhyllostomus,0.1948621349660064,1,"[[0.1039938918492397, 1]]",1.0
Myodm,1.0,1,"[[1, 1]]",1.0
Myotis,0.0,1,"[[0, 1]]",1.0
Phyllostomidae,0.2669299983031157,1,"[[0.2072747444556544, 1]]",1.0
Phyllostomus,0.0,1,"[[0, 1]]",1.0
Pipistrellus,0.0,1,"[[0, 1]]",1.0
Pteropodidae,1.184889197547501,1,"[[0.9136531417339642, 1]]",1.0
Pteropus,10000000000.0,1,"[[10000000000, 1]]",1.0
Pteropusgv,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,0.6747314371569596,2,"[[0, 0.959087531337758], [779.5512527742608, 0.04091246866224196]]",0.9704430816559935
Yangochiroptera,0.0,1,"[[0, 1]]",1.0
YangochiropteraAfterSaccopteryx,1.0,1,"[[1, 1]]",1.0
ajXP_036982039_2,0.0,1,"[[0, 1]]",1.0
drXP_053770007_1,0.2850550577443884,1,"[[0.2118751655467409, 1]]",1.0
enKAK1337893_1,10000000000.0,1,"[[10000000000, 1]]",1.0
mbXP_005852824_1,0.2118174884563783,1,"[[0.1569202048878042, 1]]",1.0
mdXP_059555893_1,0.0,1,"[[0, 1]]",1.0
mlXP_014301611_2,0.0,1,"[[0, 1]]",1.0
mmXP_036172316_1,1.0,1,"[[1, 1]]",1.0
moXP_036104303_1,0.101458727884941,1,"[[0.08985565041183287, 1]]",1.0
paXP_006915094_1,10000000000.0,1,"[[10000000000, 1]]",1.0
pdXP_028365393_1,1.0,1,"[[1, 1]]",1.0
pgXP_039729854_1,1.0,1,"[[1, 1]]",1.0
phXP_045699399_1,0.0,1,"[[0, 1]]",1.0
pkXP_036270912_1,0.0,1,"[[0, 1]]",1.0
pnCAK6446478_1,0.0,1,"[[0, 1]]",1.0
pvXP_011378660_1,10000000000.0,1,"[[10000000000, 1]]",1.0
raXP_016008203_1,0.09714649385277899,1,"[[0, 1]]",1.0
rfXP_032958685_1,0.4358488296626608,2,"[[0, 0.9556456127494594], [18.33411539131411, 0.04435438725054064]]",1.0
sbXP_066103796_1,10000000000.0,1,"[[10000000000, 1]]",1.0
