,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.1181331390500987,1,"[[0.126503274022366, 1]]",1.0
EpPi,0.08837235258803486,1,"[[0.1213141861350957, 1]]",1.0
MolossusPhyllostomus,0.0,1,"[[0, 1]]",1.0
Myobl,0.0,1,"[[0, 1]]",1.0
Myodm,0.1125260596886978,1,"[[0.1113582144968601, 1]]",1.0
Myotis,0.1162291507824628,1,"[[0.1022732506081056, 1]]",1.0
Phyllostomidae,0.0,1,"[[0, 1]]",1.0
Phyllostomus,0.0,1,"[[0, 1]]",1.0
Pipistrellus,0.0,1,"[[0, 1]]",1.0
Pteropodidae,0.03250848436876418,1,"[[0.03165519614229108, 1]]",1.0
Pteropus,0.1167125074206993,1,"[[0.1170951147788008, 1]]",1.0
Vespertilionidae,0.06537385297360306,1,"[[0.06035626064276877, 1]]",1.0
Yangochiroptera,0.1226790657736974,1,"[[0.119765176769754, 1]]",1.0
YangochiropteraAfterSaccopteryx,0.0,1,"[[1, 1]]",1.0
ajXP_053515428_1,0.1153681958452278,1,"[[0.1081779941862209, 1]]",1.0
drXP_024413080_1,0.0,1,"[[0, 1]]",1.0
enKAK1328503_1,0.4388731192797434,2,"[[0, 0.7041622539262762], [42.61242885356933, 0.2958377460737238]]",5.789146939605416e-12
mbXP_005870966_1,0.0,1,"[[0, 1]]",1.0
mdXP_059531764_1,0.0,1,"[[0, 1]]",1.0
mlXP_023599026_1,0.0,1,"[[0, 1]]",1.0
mmXP_036210066_1,0.120198246492051,1,"[[0.1104819976831164, 1]]",1.0
moXP_036132700_1,0.1204571412836098,1,"[[0.1130287321712324, 1]]",1.0
paXP_015447486_1,1.0,1,"[[1, 1]]",1.0
pdXP_028384816_1,0.06870410061678672,1,"[[0.06695643074770453, 1]]",1.0
pgXP_039728717_1,0.0,1,"[[0, 1]]",1.0
phXP_045716236_1,0.2870129744025374,1,"[[0.271785562062145, 1]]",1.0
pkXP_045441420_1,0.4068982932161779,1,"[[0.3583284093965312, 1]]",1.0
pnCAK6440313_1,0.0,1,"[[0, 1]]",1.0
pvXP_011365433_1,0.0,1,"[[0, 1]]",1.0
raXP_015978145_1,0.0,1,"[[0, 1]]",1.0
rfXP_032954214_1,0.0,1,"[[0, 1]]",1.0
sbXP_066111091_1,0.07266832929574561,1,"[[0.06962922269453672, 1]]",1.0
