,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,0.1167988436383391,1,"[[0.1067294067644454, 1]]",1.0
EpPi,0.3132453392987928,1,"[[0.2979810654679205, 1]]",1.0
MolossusPhyllostomus,0.3308657207509427,1,"[[0.2594833255805912, 1]]",1.0
Myobl,0.0,1,"[[0, 1]]",1.0
Myodm,0.3270430279210977,1,"[[0.2974036520833957, 1]]",1.0
Myotis,0.1237103438377103,1,"[[0.1130877186963, 1]]",1.0
Phyllostomidae,0.1692279989691258,1,"[[0.1547633810540122, 1]]",1.0
Phyllostomus,0.1468183588737996,1,"[[0.133568525269943, 1]]",1.0
Pipistrellus,0.0,1,"[[0, 1]]",1.0
Pteropodidae,0.1471519099064743,1,"[[0.1346403223605346, 1]]",1.0
Pteropus,0.2059405427412895,1,"[[0.1843978855101675, 1]]",1.0
Pteropusgv,0.0,1,"[[0, 1]]",1.0
Vespertilionidae,0.2588461129701317,2,"[[0, 0.9625282538296976], [8.60993284296179, 0.03747174617030236]]",1.0
Yangochiroptera,0.1419275104718484,1,"[[0.1298555022825544, 1]]",1.0
ajXP_053520029_1,0.1907968455096194,2,"[[0, 0.9613423120686289], [6.675708764838566, 0.03865768793137114]]",0.7949215883979447
drXP_053769990_1,0.09371570407228269,1,"[[0.08562136566296118, 1]]",1.0
mbXP_005861492_1,0.0,1,"[[0, 1]]",1.0
mdXP_059557159_1,0.0,1,"[[0, 1]]",1.0
mlXP_014311841_1,0.3412081917360261,2,"[[0, 0.9823925482185596], [29.55553537647573, 0.01760745178144041]]",1.0
mmXP_036172564_1,0.2946313098113155,1,"[[0.2683248634291937, 1]]",1.0
moXP_036104968_1,0.2401528213991736,1,"[[0.218980787548859, 1]]",1.0
paXP_015455890_1,10000000000.0,1,"[[10000000000, 1]]",1.0
pdXP_028366214_1,0.1659757589488758,1,"[[0.151803309818062, 1]]",1.0
pgXP_039709139_1,10000000000.0,1,"[[10000000000, 1]]",1.0
phXP_045700055_1,0.04472518086655577,1,"[[0.04051050233219591, 1]]",1.0
pkXP_036269391_1,0.08798577526763662,1,"[[0.08285739552608182, 1]]",1.0
pnCAK6446834_1,0.1822778355078372,1,"[[0.1645528414445477, 1]]",1.0
pvXP_011379318_1,1.0,1,"[[1, 1]]",1.0
raXP_036075331_1,0.06335232388388708,1,"[[0.05999533004510166, 1]]",1.0
rfXP_032958338_1,0.1808753761148867,1,"[[0.1644408280706021, 1]]",1.0
sbXP_066109751_1,0.2231151179727902,1,"[[0.2041155264703131, 1]]",1.0
