,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,10000000000.0,1,"[[10000000000, 1]]",1.0
EpPi,0.0,1,"[[0, 1]]",1.0
MolossusPhyllostomus,0.2666108139304754,1,"[[0.3275591724110509, 1]]",1.0
Phyllostomidae,0.08911782109709221,1,"[[0.08981917928001885, 1]]",1.0
Pipistrellus,0.1180191547361181,1,"[[0.1191764308301555, 1]]",1.0
Pteropodidae,0.0952212410759748,1,"[[0.1145939795865687, 1]]",1.0
Pteropus,0.6211922124288417,1,"[[10000000000, 1]]",1.0
Pteropusgv,0.4038335269980691,2,"[[0, 0.9478507374255695], [962.994920310478, 0.05214926257443053]]",5.978195716238588e-11
Vespertilionidae,0.1070565208169797,1,"[[0.1033065250786037, 1]]",1.0
Yangochiroptera,0.0,1,"[[0, 1]]",1.0
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1.0
ajXP_053525066_1,0.1212644803381274,1,"[[0.123915255092652, 1]]",1.0
drXP_024412189_1,0.1594047336793596,2,"[[0.0898522507375944, 0.9904382349006584], [54.8634311085839, 0.00956176509934159]]",1.0
enKAK1332379_1,1.0,1,"[[1, 1]]",1.0
mbXP_005870085_1,0.0,1,"[[0, 1]]",1.0
mdXP_059519688_1,1.0,1,"[[1, 1]]",1.0
mlXP_006083862_1,0.3809629368961859,1,"[[0.3871359266599082, 1]]",1.0
moXP_036123219_1,0.1145541900011776,1,"[[0.1157118339986139, 1]]",1.0
paXP_006907229_1,0.0,1,"[[0, 1]]",1.0
pdXP_028374310_1,0.0,1,"[[0, 1]]",1.0
pgXP_039693305_1,1.0,1,"[[1, 1]]",1.0
phXP_045687878_1,1.0,1,"[[1, 1]]",1.0
pkXP_036287114_1,0.0,1,"[[0, 1]]",1.0
pnCAK6435588_1,0.08839945365453625,1,"[[0.08889511306277216, 1]]",1.0
pvXP_023384844_1,1.0,1,"[[1, 1]]",1.0
raXP_015977530_1,0.9132314448915135,2,"[[0.07234980224836185, 0.9384307561878967], [100000, 0.06156924381210327]]",1.44846235006213e-09
rfXP_032988015_1,0.2280206334110434,1,"[[0.2165168946226832, 1]]",1.0
sbXP_066101758_1,0.1892191854663416,1,"[[0.1922332323321398, 1]]",1.0
