,Baseline MG94xREV omega ratio,Rate classes,Rate distributions,Corrected P-value
AjPh,1.296916399363875,1,"[[2.53129187119806, 1]]",1.0
EpPi,0.6261146572428937,2,"[[0.1059387335113709, 0.961996522442877], [16.46392950696189, 0.03800347755712297]]",1.0
MolossusPhyllostomus,10000000000.0,1,"[[10000000000, 1]]",1.0
Myobl,10000000000.0,1,"[[10000000000, 1]]",1.0
Myodm,0.0,1,"[[0, 1]]",1.0
Myotis,0.5697103542463648,1,"[[0.5500963353337334, 1]]",1.0
Phyllostomidae,0.1855625428575055,2,"[[0.07180684612665267, 0.9772579373856157], [15.09163418530281, 0.02274206261438427]]",1.0
Phyllostomus,0.1450810633924758,1,"[[0.1370775011762913, 1]]",1.0
Pipistrellus,0.1898071314094379,1,"[[0.1703826436778333, 1]]",1.0
Pteropodidae,0.2819514858240998,1,"[[0.2381809140463768, 1]]",1.0
Pteropus,0.7714289697702528,1,"[[0.6883316616301645, 1]]",1.0
Vespertilionidae,0.2503294083832213,1,"[[0.229672290500174, 1]]",1.0
Yangochiroptera,0.1933172025212425,1,"[[0.2299696621887398, 1]]",1.0
YangochiropteraAfterSaccopteryx,0.0,1,"[[0, 1]]",1.0
ajXP_036986716_2,0.2333168761119754,1,"[[0.2207247973272326, 1]]",1.0
drXP_024414295_2,0.2054960996603329,1,"[[0.2013255493473034, 1]]",1.0
enKAK1332925_1,1.075864373895264,1,"[[1.136152653587642, 1]]",1.0
mbXP_005853174_1,0.8688525829085768,1,"[[0.8344382290947194, 1]]",1.0
mdXP_059515306_1,0.1803768669243553,2,"[[0, 0.9858741936980023], [14.04450119919714, 0.01412580630199767]]",1.0
mlXP_006102991_1,0.3060565969205435,1,"[[0.2896431627866862, 1]]",1.0
mmXP_036189903_1,0.4557017538009852,1,"[[0.4614026362344026, 1]]",1.0
moXP_036118868_1,0.1294891189367393,1,"[[0.1246479058222667, 1]]",1.0
paXP_006905289_1,0.08889304477300616,1,"[[0.08497339920110575, 1]]",1.0
pdXP_028372310_1,0.6380755630776179,1,"[[0.6109928782385357, 1]]",1.0
pgXP_039708333_1,0.0,1,"[[0, 1]]",1.0
phXP_045684853_1,0.0,1,"[[0, 1]]",1.0
pkXP_036291740_1,0.3102018528209649,1,"[[0.2938752114012553, 1]]",1.0
pnCAK6435242_1,0.1856473672853688,2,"[[0.07441694535461564, 0.9944459572481164], [60.44001620886591, 0.005554042751883648]]",1.0
pvXP_011356384_1,0.3116105186327431,1,"[[0.2989303586330911, 1]]",1.0
raXP_015986126_2,0.2382308262318259,2,"[[0.1392659369805423, 0.9934533797398544], [51.37729808560255, 0.00654662026014563]]",1.0
rfXP_032981246_1,0.2855199203318788,2,"[[0, 0.9292054367171623], [7.392534024084187, 0.07079456328283773]]",0.06516911138694326
sbXP_066123581_1,0.3865684206072002,2,"[[0, 0.8198949076395473], [2.362607957899222, 0.1801050923604527]]",1.0
