NP_001842.3	drXP_024432393.2	0.910	920	83	0	1	919	1	920	0.000E+00	1857
NP_511040.2	drXP_024432394.2	0.918	678	55	0	1	676	1	678	0.000E+00	1400
XP_006710428.1	drXP_053777311.1	0.917	689	57	0	1	689	1	688	0.000E+00	1407
NP_001844.3	drXP_053782154.1	0.888	682	76	0	6	684	2	683	0.000E+00	1349
NP_000484.2	drXP_045044630.2	0.899	679	68	0	2	680	1	673	0.000E+00	1385
XP_006715395.1	drXP_045044630.2	0.899	679	68	0	2	680	1	673	0.000E+00	1385
XP_006715396.1	drXP_045044630.2	0.899	679	68	0	2	680	1	673	0.000E+00	1385
NP_110447.2	drXP_053770284.1	0.894	967	101	0	1	957	1	967	0.000E+00	1862
NP_085059.2	drXP_024418180.2	0.724	1515	417	0	1	1515	1	1513	0.000E+00	2374
XP_005246338.1	drXP_053775118.1	0.798	1684	340	0	8	1690	3	1686	0.000E+00	3036
NP_542991.3	drXP_053779412.1	0.738	593	148	0	103	695	27	593	1.523E-318	980
XP_005251116.1	drXP_045037614.2	0.906	1780	167	0	1	1780	1	1779	0.000E+00	3409
NP_542410.2	drXP_024413489.2	0.952	1629	78	0	1	1629	1	1629	0.000E+00	3420
NP_004361.3	drXP_053769944.1	0.934	3065	202	0	1	3063	1	3065	0.000E+00	6001
NP_001840.3	drXP_024418278.1	0.882	1019	120	0	1	1019	1	1018	0.000E+00	1939
NP_478054.2	drXP_045052603.1	0.896	918	95	0	1	918	1	917	0.000E+00	1776
NP_004360.2	drXP_024419969.2	0.807	3177	609	0	1	3177	1	3159	0.000E+00	5267
NP_001265227.1	drXP_053786320.1	0.748	2611	656	0	1	2611	1	2605	0.000E+00	4056
NP_001096078.1	drXP_024421677.2	0.835	2262	373	0	2	2263	3	2264	0.000E+00	3921
XP_005247178.1	drXP_024421677.2	0.835	2262	373	0	2	2263	3	2264	0.000E+00	3921
NP_001846.3	drXP_053778267.1	0.769	1388	319	0	1	1388	1	1380	0.000E+00	2256
NP_001846.3	drXP_045051204.2	0.769	1388	319	0	1	1388	1	1380	0.000E+00	2256
NP_000080.2	drXP_053782700.1	0.909	1368	124	0	1	1366	1	1368	0.000E+00	2760
NP_775736.2	drXP_045041661.1	0.862	543	74	0	1	540	1	543	0.000E+00	1022
NP_065933.2	drXP_053783376.1	0.722	1316	351	0	8	1270	47	1362	0.000E+00	1911
NP_690850.2	drXP_024421119.2	0.841	1675	265	0	40	1714	3	1672	0.000E+00	3034
NP_378667.1	drXP_024407405.2	0.752	1654	408	0	45	1690	6	1659	0.000E+00	2684
NP_066933.1	drXP_024428114.2	0.905	1796	170	0	1	1796	1	1795	0.000E+00	3439
NP_001847.3	drXP_045046700.2	0.870	1625	208	0	1	1604	1	1625	0.000E+00	3144
NP_001847.3	drXP_045046701.2	0.870	1625	208	0	1	1604	1	1625	0.000E+00	3144
NP_000079.2	drXP_045038435.2	0.953	1464	69	0	1	1464	1	1459	0.000E+00	3124
NP_000084.3	drXP_053775060.1	0.939	1846	112	0	1	1838	1	1846	0.000E+00	3873
NP_000384.2	drXP_024419757.2	0.961	1499	58	0	1	1499	1	1499	0.000E+00	3236
NP_056534.2	drXP_045048476.2	0.877	1748	215	0	1	1745	1	1748	0.000E+00	3347
NP_001839.2	drXP_053773797.1	0.901	1028	102	0	1	1028	1	1027	0.000E+00	1994
NP_597714.2	drXP_053786399.1	0.911	439	39	0	1	439	1	437	1.980E-284	867
NP_116277.2	drXP_053777376.1	0.861	1860	256	0	1	1860	1	1842	0.000E+00	3471
NP_116277.2	drXP_053777366.1	0.861	1860	256	0	1	1860	1	1842	0.000E+00	3471
NP_001032852.2	drXP_024432934.2	0.847	1138	172	0	1	1125	1	1138	0.000E+00	2072
NP_001835.3	drXP_024431366.1	0.979	1487	31	0	1	1487	1	1487	0.000E+00	3247
NP_000081.1	drXP_024419904.1	0.884	1467	170	0	1	1466	1	1467	0.000E+00	2948
NP_001836.2	drXP_053772292.1	0.886	1670	190	0	1	1669	1	1670	0.000E+00	3369
NP_001837.2	drXP_045042595.2	0.828	1712	294	0	1	1712	1	1711	0.000E+00	3180
NP_001837.2	drXP_045042596.2	0.828	1712	294	0	1	1712	1	1711	0.000E+00	3180
NP_542411.2	drXP_024413487.2	0.946	1736	94	0	1	1736	1	1736	0.000E+00	3613
NP_542411.2	drXP_053770151.1	0.946	1736	94	0	1	1736	1	1736	0.000E+00	3613
XP_006716714.1	drXP_024428114.2	0.905	1796	170	0	1	1796	1	1795	0.000E+00	3439
NP_569712.2	drXP_053773720.1	0.758	1335	320	0	1	1335	1	1324	0.000E+00	2211
NP_001849.2	drXP_045040812.2	0.851	1141	166	0	1	1141	50	1167	0.000E+00	2147
XP_005250867.1	drXP_045037691.2	0.855	1606	230	0	1	1606	1	1590	0.000E+00	3016
NP_000085.1	drXP_053785887.1	0.845	2932	454	0	1	2932	1	2930	0.000E+00	5309
NP_001841.2	drXP_024413955.2	0.940	744	45	0	1	744	1	743	0.000E+00	1590
NP_000082.2	drXP_024419626.2	0.804	1674	327	0	1	1669	1	1674	0.000E+00	3037
NP_000083.3	drXP_053775118.1	0.798	1684	340	0	8	1690	3	1686	0.000E+00	3036
NP_000486.1	drXP_024407383.2	0.917	1685	140	0	1	1685	3	1687	0.000E+00	3527
NP_001838.2	drXP_024407405.2	0.752	1654	408	0	46	1691	6	1659	0.000E+00	2684
NP_065084.2	drXP_024413955.2	0.940	744	45	0	1	744	1	743	0.000E+00	1590
NP_005193.1	drXP_053776909.1	0.955	692	31	0	12	703	23	714	0.000E+00	1499
NP_005193.1	drXP_053776910.1	0.955	692	31	0	12	703	23	714	0.000E+00	1499
XP_005270535.1	drXP_053776909.1	0.955	692	31	0	12	703	23	714	0.000E+00	1499
XP_005270535.1	drXP_053776910.1	0.955	692	31	0	12	703	23	714	0.000E+00	1499
XP_005270536.1	drXP_053776911.1	0.960	638	25	0	1	638	1	638	0.000E+00	1395
NP_001843.1	drXP_053777311.1	0.917	689	57	0	1	689	1	688	0.000E+00	1407
NP_000485.3	drXP_024411423.2	0.802	1497	287	0	1	1497	1	1449	0.000E+00	2508
NP_001177638.1	drXP_024425845.2	0.956	1767	78	0	1	1767	8	1773	0.000E+00	3742
NP_001845.3	drXP_024425844.2	0.954	1806	83	0	1	1806	8	1812	0.000E+00	3814
NP_542196.2	drXP_024425843.2	0.953	1818	85	0	1	1818	8	1824	0.000E+00	3828
