pdb_file,Total,BackHbond,SideHbond,Energy_VdW,Electro,Energy_SolvP,Energy_SolvH,Energy_vdwclash,Entropy_sidec,Entropy_mainc,water_bonds,helix_dipole,loop_entropy,energy_torsion,backbone_vdwclash,cis_bond,disulfide,kn_electrostatic,partial_covalent,Energy_Ionisation,Entropy_complex,extra_col1,extra_col2
./drxp_053766978_Repair.pdb,141.94,-96.8219,-27.2589,-90.2648,-1.17416,144.921,-102.435,1.94544,53.974,256.922,0.0,0.0,0.0,3.99464,106.987,-2.92248,0.0,0.0,0.0,0.0,1.05993,0.0,179.0
./mbxp_014389106_Repair.pdb,245.43,-91.5259,-36.7521,-104.719,-0.471549,169.719,-121.976,10.8356,66.7245,346.447,0.0,0.0,0.215051,8.22735,118.432,-2.68149,0.0,0.0,0.0,0.0,1.3888,0.0,233.0
./mmxp_036168168_Repair.pdb,204.543,-106.185,-38.435,-113.333,-1.10059,188.189,-127.233,1.6698,70.0756,329.722,0.0,0.0,0.0,2.48715,129.591,-3.12789,0.0,0.0,0.0,0.0,1.81403,0.0,233.0
./moxp_036137889_Repair.pdb,152.022,-92.3881,-25.5217,-84.2316,-1.38322,134.699,-96.673,4.62083,49.3763,261.291,0.0,0.0,0.0,4.54359,93.3152,-3.39329,0.0,0.0,0.0,0.0,1.083,0.0,179.0
./raxp_016009779_Repair.pdb,163.011,-89.3175,-27.4682,-85.3765,-0.822768,135.255,-99.1589,2.97135,53.4797,272.972,0.0,0.0,0.0,2.54541,103.615,-2.91631,0.0,0.0,0.0,0.0,0.847842,0.0,179.0
./rfxp_032990674_Repair.pdb,183.648,-142.734,-43.5087,-124.079,-0.566035,196.133,-142.793,3.93263,82.1528,352.411,0.0,0.0,0.0,5.12984,138.643,-3.33653,0.0,0.0,0.0,0.0,0.905445,0.0,228.0
./sbxp_066123222_Repair.pdb,157.546,-91.4634,-31.9292,-83.0605,0.0996168,135.978,-94.4336,3.05112,55.5473,263.383,0.0,0.0,0.0,3.33632,93.7224,-4.0684,0.0,0.0,0.0,0.0,1.10665,0.0,179.0
