mbXP_005882844.1	mbXP_005882844.1	0.000E+00	100.000	728	1	728	1	728
pdXP_035886267.1	pdXP_035886264.1	0.000E+00	96.400	2132	1	2132	1	2132
phXP_045691892.1	phXP_045691889.1	1.323E-188	97.700	279	1	279	17	295
phXP_045685890.1	drXP_024431115.1	4.906E-156	95.600	238	1	238	1	238
phXP_045685890.1	mbXP_005877469.1	6.483E-87	100.000	131	108	238	1	131
pgXP_039734167.1	pvXP_011362675.1	0.000E+00	98.200	775	1	775	1	775
pkXP_045428126.1	pnCAK6438581.1	2.048E-185	95.800	281	1	281	1	281
pkXP_045437638.1	pkXP_036293960.1	2.313E-163	95.900	248	1	248	1	248
efXP_008138864.1	drXP_024431115.1	2.374E-155	95.300	238	1	238	1	238
efXP_008138864.1	mbXP_005877469.1	6.483E-87	100.000	131	108	238	1	131
efXP_054574500.1	efXP_054574501.1	9.590E-183	97.600	271	1	271	1	271
enKAK1330237.1	mmXP_036201880.1	5.507E-90	96.400	139	1	139	1	139
moXP_036100995.1	moXP_036100995.1	0.000E+00	96.500	518	1	518	1	518
paXP_024894255.1	paXP_024894251.1	8.493E-112	100.000	158	1	158	1	158
paXP_024894255.1	paXP_015450830.1	8.493E-112	100.000	158	1	158	62	219
pdXP_035877475.1	pdXP_035877474.1	0.000E+00	99.700	716	1	716	1	716
pdXP_035877475.1	pdXP_035877466.1	0.000E+00	99.000	709	9	716	1472	2180
pgXP_039714109.1	paXP_024906107.1	0.000E+00	97.300	788	36	823	56	843
ajXP_036995238.2	ajXP_036995238.2	0.000E+00	96.400	1928	1	1928	1	1928
efXP_054573029.1	efXP_054573029.1	0.000E+00	96.200	796	1	796	1	796
mbXP_005869664.1	mbXP_005869664.1	0.000E+00	99.100	2178	1	2178	1	2178
mbXP_005869664.1	mbXP_014397861.1	0.000E+00	100.000	699	1480	2178	17	715
paXP_006906392.1	pvXP_011358589.1	9.953E-223	98.800	324	1	324	1	324
sbXP_066109248.1	sbXP_066109248.1	4.221E-182	97.900	269	1	269	1	269
sbXP_066136416.1	drXP_024431579.2	1.618E-169	96.600	255	1	255	1	255
sbXP_066136416.1	mbXP_014384426.1	1.651E-88	100.000	131	125	255	1	131
sbXP_066090849.1	sbXP_066090849.1	1.384E-242	97.700	357	1	357	1	357
sbXP_066120133.1	sbXP_066120133.1	5.204E-171	99.300	249	1	249	1	249
sbXP_066095795.1	sbXP_066095794.1	0.000E+00	100.000	771	1	771	1	771
drXP_053775805.1	drXP_053775805.1	0.000E+00	97.400	1854	1	1854	1	1854
sbXP_066135987.1	rfXP_032961222.1	1.702E-189	95.200	289	1	289	14	302
ajXP_037007669.2	ajXP_037007669.2	1.433E-175	95.600	267	1	267	1	267
ajXP_037021118.2	mlXP_014304353.1	0.000E+00	96.300	534	1	534	1	534
drXP_053775817.1	drXP_053775805.1	0.000E+00	97.400	1845	1	1845	10	1854
enKAK1329909.1	enKAK1329909.1	0.000E+00	97.400	506	1	506	1	506
drXP_045038923.1	rfXP_032961222.1	9.060E-190	95.300	289	1	289	14	302
drXP_053767744.1	drXP_024409532.2	4.127E-190	98.400	279	1	279	1	279
drXP_045059655.2	drXP_024426375.2	4.233E-116	100.000	162	1	162	1	162
drXP_053775506.1	drXP_053775506.1	0.000E+00	95.500	824	1	824	1	824
drXP_053770599.1	drXP_053770598.1	0.000E+00	97.100	956	1	956	1	956
pkXP_036265113.1	pdXP_035876168.1	0.000E+00	99.500	1073	1	1073	1	1073
pkXP_036265113.1	paXP_006915922.1	0.000E+00	97.100	1073	1	1073	1	1071
raXP_036080688.1	raXP_036080689.1	0.000E+00	96.500	820	1	820	1	820
rfXP_032956670.1	drXP_024431579.2	1.618E-169	96.600	255	1	255	1	255
rfXP_032956670.1	mbXP_014384426.1	1.651E-88	100.000	131	125	255	1	131
rfXP_032976568.1	rfXP_032976568.1	0.000E+00	98.900	4385	1	4385	1	4385
mdXP_059517885.1	mmXP_036193287.1	5.415E-162	95.200	248	1	248	1	248
pgXP_039734170.1	mdXP_059568158.1	0.000E+00	98.900	772	1	772	1	772
phXP_045704499.1	phXP_045704499.1	0.000E+00	96.200	2322	1	2322	1	2322
raXP_015978386.2	raXP_036094435.1	0.000E+00	96.200	855	1	855	1	855
raXP_015978386.2	raXP_015978394.2	0.000E+00	97.900	554	1	554	1	554
rfXP_032949431.1	rfXP_032949431.1	0.000E+00	98.400	760	1	760	1	760
rfXP_032944825.1	mdXP_059568158.1	0.000E+00	98.600	772	1	772	1	772
moXP_036098958.1	mmXP_036207732.1	0.000E+00	99.100	1093	1	1093	1	1093
moXP_036098958.1	raXP_016014858.2	0.000E+00	98.100	1093	1	1093	36	1128
pgXP_039735434.1	pgXP_039735433.1	0.000E+00	96.700	820	1	820	1	820
pgXP_039735434.1	pvXP_011384389.1	0.000E+00	96.000	615	16	630	1	613
phXP_045687378.1	mlXP_014304353.1	0.000E+00	96.600	534	35	568	1	534
raXP_016018526.2	raXP_016018526.2	2.595E-169	99.900	245	1	245	1	245
raXP_036075601.1	pgXP_039693759.1	0.000E+00	96.900	748	1	748	1	748
raXP_015993896.1	rfXP_032961222.1	4.823E-190	95.400	289	1	289	14	302
rfXP_032982964.1	rfXP_032982964.1	4.258E-224	99.300	324	1	324	1	324
rfXP_032954631.1	sbXP_066118416.1	0.000E+00	96.300	1893	1	1893	1	1893
rfXP_032954631.1	mdXP_059567795.1	5.204E-279	95.200	456	1	456	1	456
drXP_024435451.1	drXP_024435451.1	4.604E-157	99.800	228	1	228	1	228
mlXP_006102429.1	sbXP_066103320.1	0.000E+00	95.000	1910	1	1910	89	1998
pdXP_035875304.1	pdXP_035875304.1	1.613E-83	100.000	114	1	114	1	114
pdXP_035875304.1	phXP_045695715.1	2.889E-79	100.000	116	1	114	52	167
pdXP_035875304.1	drXP_045043032.2	1.528E-72	96.100	114	1	114	52	164
pgXP_039713249.1	pgXP_039713249.1	6.750E-205	98.700	299	1	299	1	299
drXP_053781988.1	drXP_053781992.1	0.000E+00	96.400	818	1	818	1	818
mmXP_036171468.1	mmXP_036171469.1	0.000E+00	96.000	802	1	802	1	802
moXP_036125358.1	moXP_036125358.1	3.163E-245	99.100	355	1	355	1	355
pdXP_035875482.1	drXP_053775506.1	0.000E+00	95.000	824	1	824	1	824
phXP_045695676.1	phXP_045695676.1	2.401E-185	98.800	271	1	271	1	271
pkXP_045439844.1	pkXP_045439845.1	0.000E+00	100.000	1203	1	1203	1	1202
pdXP_028374223.1	pdXP_035886264.1	0.000E+00	96.400	2132	1	2132	1	2132
phXP_045687340.1	drXP_024424490.3	1.788E-215	96.100	324	1	324	1	324
phXP_045687340.1	rfXP_032991413.1	7.850E-214	95.500	324	1	324	1	324
phXP_045687340.1	mmXP_036169912.1	5.336E-210	95.900	317	8	324	8	324
pkXP_036313607.1	pkXP_045444399.1	1.007E-221	96.200	333	1	333	1	333
pkXP_045429790.1	pkXP_045429790.1	0.000E+00	99.700	1367	1	1367	1	1367
pkXP_045429790.1	pnCAK6449822.1	0.000E+00	95.300	1345	1	1345	1	1331
ajXP_036997277.2	ajXP_036997277.2	3.494E-48	96.300	78	1	78	1	78
ajXP_053514900.1	ajXP_053514900.1	0.000E+00	97.400	895	1	895	1	895
drXP_045046113.2	drXP_024409532.2	4.127E-190	98.400	279	1	279	1	279
drXP_045058019.1	drXP_024424227.2	1.248E-122	97.700	184	1	184	57	240
drXP_045058019.1	sbXP_066133315.1	6.044E-122	97.200	184	1	184	23	206
drXP_045058019.1	rfXP_032965309.1	1.769E-119	95.600	184	1	184	57	240
drXP_024417191.2	drXP_024417191.2	7.796E-164	97.100	245	1	245	1	245
sbXP_066129620.1	sbXP_066129620.1	0.000E+00	96.400	873	1	873	1	873
