NP_114116.3	paXP_006913566.1	0.687	266	81	0	20	278	1	266	2.850E-117	375
XP_005261382.1	paXP_006913566.1	0.687	266	81	0	1	259	1	266	1.218E-117	375
XP_006724188.1	paXP_006913566.1	0.687	266	81	0	1	259	1	266	1.218E-117	375
NP_001128642.1	paXP_006919049.1	0.969	296	9	0	1	296	1	296	2.805E-204	627
NP_997302.2	paXP_006914271.1	0.797	252	51	0	1	252	1	251	9.078E-135	424
NP_848635.2	paXP_006915889.1	0.870	332	43	0	1	332	1	332	4.504E-209	643
NP_001138365.1	paXP_015448952.1	0.614	153	59	0	116	268	53	205	4.901E-60	209
NP_001138365.1	paXP_015448952.1	0.614	153	59	0	116	268	53	205	4.901E-60	209
NP_001035173.1	paXP_006915682.1	0.936	313	20	0	1	313	1	313	2.757E-194	600
NP_003559.2	paXP_006919815.1	0.791	345	72	0	1	345	1	345	1.767E-173	541
NP_057075.1	paXP_006924528.1	0.786	244	52	0	1	244	1	244	3.561E-133	419
NP_057075.1	paXP_006924529.1	0.786	244	52	0	1	244	1	244	3.561E-133	419
XP_006715792.1	paXP_024905340.1	0.611	815	240	0	14	828	211	829	1.219E-299	932
NP_443138.2	paXP_006914835.1	0.961	804	31	0	17	820	1	803	0.000E+00	1603
XP_005261381.1	paXP_006914835.1	0.961	804	31	0	17	820	1	803	0.000E+00	1603
XP_005250022.1	paXP_006914749.1	0.317	169	107	0	8	165	46	214	8.555E-24	99
NP_001007034.1	paXP_024904419.1	0.738	209	54	0	1	209	1	206	1.551E-107	343
NP_072092.2	paXP_006906898.1	0.767	198	46	0	1	198	1	198	1.124E-98	317
NP_922938.1	paXP_024899129.1	0.762	244	58	0	1	244	1	244	5.357E-121	384
NP_922938.1	paXP_006906899.1	0.762	244	58	0	1	244	1	244	5.357E-121	384
NP_922940.1	paXP_006906901.1	0.692	143	44	0	1	143	1	143	2.892E-60	203
NP_072092.2	paXP_006906898.1	0.767	198	46	0	1	198	1	198	1.124E-98	317
NP_922938.1	paXP_024899129.1	0.762	244	58	0	1	244	1	244	5.357E-121	384
NP_922938.1	paXP_006906899.1	0.762	244	58	0	1	244	1	244	5.357E-121	384
XP_005250744.1	paXP_024901707.1	0.945	474	26	0	1	474	1	473	1.045E-303	927
NP_002664.2	paXP_006909115.1	0.898	2138	218	0	1	2135	1	2138	0.000E+00	4017
XP_005261966.1	paXP_024906807.1	0.851	1838	273	0	1	1838	1	1831	0.000E+00	3240
XP_005261967.1	paXP_024906807.1	0.851	1838	273	0	1	1838	1	1831	0.000E+00	3240
NP_001008388.1	paXP_006905305.1	0.701	174	52	0	1	174	1	174	4.294E-88	285
NP_940850.1	paXP_006905305.1	0.701	174	52	0	1	174	1	174	4.294E-88	285
XP_005264192.1	paXP_006905305.1	0.701	174	52	0	1	174	1	174	4.294E-88	285
NP_001152824.1	paXP_024894251.1	0.708	158	46	0	1	158	1	158	4.172E-80	261
NP_001152824.1	paXP_024894252.1	0.708	158	46	0	1	158	1	158	4.172E-80	261
NP_001152824.1	paXP_024894253.1	0.708	158	46	0	1	158	1	158	4.172E-80	261
NP_001152824.1	paXP_024894254.1	0.708	158	46	0	1	158	1	158	4.172E-80	261
NP_001152824.1	paXP_024894255.1	0.708	158	46	0	1	158	1	158	4.172E-80	261
NP_001152824.1	paXP_024894247.1	0.708	158	46	0	1	158	54	211	4.172E-80	261
NP_001152824.1	paXP_024894248.1	0.708	158	46	0	1	158	54	211	4.172E-80	261
NP_001152824.1	paXP_024894249.1	0.708	158	46	0	1	158	54	211	4.172E-80	261
NP_001152824.1	paXP_024894250.1	0.708	158	46	0	1	158	54	211	4.172E-80	261
NP_001152824.1	paXP_024894246.1	0.708	158	46	0	1	158	61	218	4.172E-80	261
NP_001152824.1	paXP_015450830.1	0.708	158	46	0	1	158	62	219	4.172E-80	261
NP_002299.2	paXP_006925049.1	0.795	323	66	0	1	323	1	323	2.024E-178	554
XP_006721957.1	paXP_024897512.1	0.768	246	57	0	1	246	1	246	5.411E-129	407
NP_001036150.1	paXP_006925048.1	0.777	355	79	0	1	355	1	355	1.201E-191	594
XP_005256827.1	paXP_006925049.1	0.792	323	67	0	1	323	1	323	2.024E-178	554
NP_149092.2	paXP_006911245.1	0.849	313	47	0	23	335	1	313	2.324E-183	569
NP_006489.1	paXP_015447099.1	0.820	128	23	0	3	130	51	178	1.595E-69	229
XP_005246039.1	paXP_024897201.1	0.790	253	52	0	3	250	1	253	9.506E-135	424
